objectid,filename,title,metadatacreator,creator,date,description,subject,keyword,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
001_19450123,001_19450123_medium.jpeg,Chaplain Raymond Wilson,Andrijana,,1945-01-23,Chaplain Raymond Wilson is part of Regimental Personel in WWII.,,Chaplain Raymond WIlson; personell; regimental personell; WWII; France; 1945;,France,,,,001_19450123,Image;StillImage,image/jpeg,eng,,,image,/objects/001_19450123_medium.jpg,/object/small/001_19450123_medium_sm_jpg,/object/thumbs/001_19450123_medium_th.jpg,,
002_19450123,002_19450123_medium.jpeg,"Sgt. Graham, PX Warehouse",Andrijana,,1945-01-23,"Seargent Graham in PX Warehouse, in Regiment Installations during WWII.",,Seargent Graham; seargent; warehouse; PX warehouse; Regiment Installation; WWII; France; 1945;,France,,,,002_19450123,Image;StillImage,image/jpeg,eng,,,image,/objects/002_19450123_medium.jpg,/object/small/002_19450123_medium_sm_jpg,/object/thumbs/002_19450123_medium_th.jpg,,
003_19450124,003_19450124_medium.jpeg,Tubs/Vats Interior,Andrijana,,1945-01-24,Tubs and Vats interior in 236 General Hospital during WWII.,,tubs; interior; 236 General Hospital; hospital; WWII; France; WWII; 1945;,France,,,,003_19450124,Image;StillImage,image/jpeg,eng,,,image,/objects/003_19450124_medium.jpg,/object/small/003_19450124_medium_sm_jpg,/object/thumbs/003_19450124_medium_th.jpg,,
005_19450127,005_19450127 _medium.jpeg,Snowy Bridge Over River,Andrijana,,1945-01-27,"Bridge over Moselle at Epinal Repaired by Co. B, during WWII.",,bridge; river; Moselle; France; WWII; Epinal Repaired; snowy bridge; snowy; 1945;,"Metz, France",49.1193,6.1757,,005_19450127,Image;StillImage,image/jpeg,eng,,,image,/objects/005_19450127_medium.jpg,/object/small/005_19450127_medium_sm_jpg,/object/thumbs/005_19450127_medium_th.jpg,,
006_19450127,006_19450127 _medium.jpeg,Truck and People on Snowy Bridge,Andrijana,,1945-01-27,Truck and People on Snowy Bridge over Moselle at Epinal Repaired by Co. B.,,truck and people; truck; people; river; Moselle; river; Epinal Repaired; bridge; snowy bridge; truck on the bridge; people on the bridge; France; WWII; 1945;,"Metz, France",49.1193,6.1757,,006_19450127,Image;StillImage,image/jpeg,eng,,,image,/objects/006_19450127_medium.jpg,/object/small/006_19450127_medium_sm_jpg,/object/thumbs/006_19450127_medium_th.jpg,,
007_19450127,007_19450127_medium.jpg,Soldier experiencing winter in France,Branden,,1945-01-27,soldier in snow,"Soldiers; World War,1939-1945; African Americans",snow; WWII; 1321st Engineer General Service Regiment,"Lunéville, France",48.59201185,6.491967607,,007_19450127,Image;StillImage,image/jpeg,eng,,,image,,,,,
009_19450129,009_19450129_medium.jpg,"Regiment HQ in Lunéville, France",Branden,,1945-01-29,"Reg. HQs, Co. A. 67 Q. x Co. C.","World War, 939-1945; Military Headquarters; Military Installations",snow; WWII; 1321st Engineer General Service Regiment,"Lunéville, France",48.59201185,6.491967607,,009_19450129,Image;StillImage,image/jpeg,eng,,,image,,,,,
010_19450129,010_19450129_medium.jpg,"Cannon wheel in Lunéville, France",Sarah,,1945-01-29,"Cannon wheel in snow outside of former French military prep school, turned hospital via construction in Lunéville, France during WWII.","1321st Engineer General Service Regiment, WWII","cannon wheel; cannon; France; French; Luneville; military; hospital; snow; construction; WWII; 1945; 1321st Engineer
General Service Regiment","Lunéville, France",48.37515446,6.290375637,,010_19450129,Image;StillImage,image/jpeg,eng,,,image,/objects/010_19450129_medium.jpg,/objects/small/010_19450129_medium_sm.jpg,/objects/thumbs/010_19450129_medium_th.jpg,,
011_19450129,011_19450129_medium.jpg,"Motor pool in Lunéville, France",Branden,,1945-01-29,motor pool,"World War,1939-1945; Military Installations; Vehicles, Military",motor pool; vehicles; trucks; snow; WWII; 1321st Engineer General Service Regiment,"Lunéville, France",48.59201185,6.491967607,,011_19450129,Image;StillImage,image/jpeg,eng,,,image,/objects/011_19450129_medium.jpg,/objects/small/011_19450129_medium_sm.jpg,/objects/thumbs/011_19450129_medium_th.jpg,,
012_19450129,012_19450129_medium.jpg,S-3 office,Jolil,,1945-01-29,Office for millitants of WWII,"World War, 1939-1945; Military","WWII, office, millitary, desk, engineering, France","Lunéville, France",48.37515446,6.290375637,,012_19450130,Image: StillImage,image/jpeg,eng,,,image,/objects/012_19450129_medium.jpg,/objects/small/012_19450129_medium_sm.jpg,/objects/thumbs/012_19450129_medium_th.jpg,,
